Technique,Assumption ID,Assumption Name,Weight Type,Value,Rationale
ContainerCgroupDoS,AUTH-1,Authentication for exposed container APIs is enforced,Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupDoS,AUTH-1,Authentication for exposed container APIs is enforced,Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupDoS,AUTH-2,Role-based access control is used for orchestration and container management,Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupDoS,AUTH-2,Role-based access control is used for orchestration and container management,Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupDoS,AUTH-3,"Access to container management interfaces (e.g., Docker socket) is restricted",Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupDoS,AUTH-3,"Access to container management interfaces (e.g., Docker socket) is restricted",Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupDoS,CIC-1,"The CI/CD pipeline for the app is secured (regarding code repositories, build environments, secrets, vulnerabilities, signing, auditing ...)",Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupDoS,CIC-1,"The CI/CD pipeline for the app is secured (regarding code repositories, build environments, secrets, vulnerabilities, signing, auditing ...)",Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CIC-2,SBOMs are used for the app to track code dependencies,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupDoS,CIC-2,SBOMs are used for the app to track code dependencies,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CIC-3,Code reviews and automated testing of the app are enforced,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
